key,value
全民健康保險(NHI)的價格為何?,"依規定由學校將外國學生應繳納之健康保險費列入每學期學雜費繳款單，由學生於註冊時一併繳納。外國學生保險費每月新臺幣826元（依健保局現行收費標準），第一學期繳納9月至次年2月保險費（共4,956元），第二學期繳納3月至8月保險費（共4,956元）。惟新入境之新生需於領取ARC後居留滿6個月始符合投保資格，但為保障學生安全，未能參加健保之前，須辦理國際學生醫療保險（保險內容類似健保），由校方統一協助國際學位生辦理。"
如何辦理「獎學金中文(英文)得獎證明」？,"第1步：進入生輔組線上服務－獎學金查詢系統(http://sgd.adm.ncku.edu.tw/scholarship/)

第2步：選擇『得獎證明』，輸入學號及選課密碼，並開啟WORD檔列印。

第3步：請自行列印彩色畫面及備妥所需份數，送交生輔組登記，送文書組蓋學校大印，隨到隨辦。

備註：由生輔組受理之獎項才可出具證明，書卷獎證明請洽教官室。"
全民健康保險機關的地址與資訊在哪裡?,"網站：www.nhi.gov.tw

地址：70006 臺南市中西區公園路96號『中央健康保險署南區業務組』

電話：06-2245678

服務時間：週一至週五8:30-17:30"
如何申請「本學期在校未領其他獎學金證明」?,"請先查明欲申請之獎項名稱，攜帶學生證（已蓋妥當學期 ""註"" 章)至生輔組辦理。
生輔組開放出具本項文件，惟證明文件上除註明提出申請之獎項名稱外，須另備註「此份文件為本學期出具之第X份證明文件」，以供核發單位參酌。(依92.10.14九十二學年度獎學金第二次審查會議決議）。"
港澳生、無戶籍國民（臨人字入國許可）及復學生想要出入境臺灣地區居需要申請什麼?,"一、【港澳生、無戶籍國民（臨人字入國許可）及復學生】臺灣地區居留入出境證，可交由各地區總幹事協助辦理或自行線上辦理，紙本應備文件以下事項：<https://www.immigration.gov.tw/5382/5385/7244/7250/7296/%E5%B1%85%E7%95%99/><https://coa.immigration.gov.tw/coa-frontend/student/entry>

（一）填妥「中華民國臺灣地區入境居留／定居申請書」（【港澳生】申請事由請勾選「港澳居民居留入出境證(須入境後申請)」；【無戶籍國民】申請事由請勾選「無戶籍國民IC居留證及臨人字入國許可」）並貼妥相片1張（限2吋脫帽白底彩色照片，頭頂至下巴需在3.2~3.6公分之間）
（二）【港澳生】填妥「香港或澳門居民身分確認書」
（三）海外聯招會分發書或本校開立之錄取通知書（驗正本收影本）
（四）僑居地身分證明文件（如永久居民身分證或護照）
（五）在學證明（紙本在學證明或學生證正反面影本蓋註冊章，請至註冊組申請）
（六）健康檢查合格證明（健康檢查項目乙表，3個月內有效）
（七）地址證明文件（驗正本收影本）（住校外：租賃契約或水電帳單；住校內宿舍免附，須載明房號）
（八）已入境停留期間申請者，加附【港澳生】入出境許可證正本；【無戶籍國民】中華民國護照（驗正本收影本）
（九）【港澳生】最近5年內香港或澳門警察紀錄證明書1份（3個月內有效）（未滿20歲免附，以申請居留日為基準，須經駐外機構驗證）；【無戶籍國民】僑居地或居住地之全國性警察紀錄證明書（6個月內有效）（未滿20歲免附，若為外文則須經駐外機構驗證並檢附中譯本）
（十） 委託書（申請人未到場請加附）
（十一）【港澳生】費用：新臺幣2600元；【無戶籍國民】費用：新臺幣500元。"
新僑生及復學生持有停留簽證(Visitor Visa)者，辦理居留簽證(Resident Visa)需要準備甚麼?,"（一）填妥中華民國簽證申請表（線上填表：外交部領事事務局／簽證／線上填寫申請表／一般簽證申請，填妥後存檔產生序號列印並簽名）
（二）照片2張（限2吋脫帽白底彩色照片，白底，頭頂至下巴需在3.2~3.6公分之間）
（三）護照基本頁及簽證頁影本（驗正本收影本）
（四）健康檢查合格證明（乙表）（復學生若出境未超過3個月免附）
（五）海外聯招會分發書或本校開立之錄取通知書（驗正本收影本）
（六）在學證明（紙本在學證明或學生證正反面影本蓋註冊章，請至註冊組申請）
（七）經我駐外機構或保薦單位驗證之最高學歷畢業證書及成績單（驗正本收影本）（復學生附成績單、休學證明書、復學通知書及自述休學理由、休學期間在何處之報告）
（八）僑務委員會核發之確具符合僑生資格之核准函（經海聯會分發者毋須檢附）
（九）其他視個案要求提供之文件（財力證明、來臺目的證明、來臺關係人保證書、父母同意書、無犯罪紀錄證明等）
（十）新臺幣3000元"
請問甚麼身分可以申請保留入學?,"(1)嚴重疾病（有醫療報告）
(2)服兵役
(3)從事教學工作(持相關證明)
(4)懷孕生產者
(5)為人父母（3歲以下的孩子）
(6)因個人原因無法在指定日期內入境就讀。"
請問申請保留入學需要甚麼文件?,"(1)欲申請保留入學的說明書
(2)最高學歷影本
(3)護照影本
(4)錄取通知書影本
(5)其他證明文件: 醫療證明或兵役證明的說明文件。(無則免)
提醒事項:若有申請成功，教務處將在7 月（視情況而定）發復學通知書給您。如有任何疑問，請與教務處聯繫  em50120@email.ncku.edu.tw."
請問新生註冊需要準備甚麼文件?,"港澳僑生新生註冊時需要攜帶以下9點文件1. 保險文件
2. 台灣身份證 
3. 清寒證明 
4. 若為役男身份請至生輔組辦理緩徵：
5. 最高學歷正本及驗證文件影本(若無法提供，需要提供切結書及說明書)
6. 護照及簽證頁影本
7. 居留證正反面影本(若有)
8. 繳費單 
9. 僑生及港澳生學生綜合資料表
"
新生註冊時需要攜帶甚麼文件呢?,"(1)經臺灣駐外使館、代表處等外交部機構驗證之外國學校最高學歷證明文件（若畢業證書不是中文或英文版本，務必提供中文或英文認證過之譯本；如果來臺報到時，未提供本文件及報到所需文件，則視同未完成報到程序，此將影響入學資格）。

(2)6張以上的6個月內所拍攝之2*2吋個人大頭照（使用於學生證、學校基本資料、臺灣居留證件等證件申請）。

(3)經臺灣駐外使館、代表處等外交部機構驗證過之國外醫療及傷害保險、或臺灣全民健康保險。"
